,date,Negative,Neutral,Positive
271,2019-04-07,0.4804865,0.49684247,0.022670971
272,2019-04-09,0.9514432,0.0058050337,0.04275176
273,2019-04-10,0.5062351,0.002489958,0.4912749
274,2019-04-11,0.4955284,0.0026533986,0.50181824
275,2019-04-12,0.50282687,0.0025865491,0.49458665
276,2019-04-15,0.93744516,0.0032612416,0.059293553
277,2019-04-16,0.98049486,0.0027668816,0.016738228
278,2019-04-17,0.9817424,0.0032204078,0.015037174
279,2019-04-18,0.90160453,0.013460206,0.08493518
280,2019-04-19,0.43111867,0.48706034,0.08182094
281,2019-04-22,0.94235605,0.0034007048,0.05424327
282,2019-04-23,0.7470396,0.0047033806,0.24825698
283,2019-04-24,0.9550502,0.003302045,0.0416478
284,2019-04-25,0.97963834,0.0034158186,0.016945776
285,2019-04-26,0.58363825,0.00566311,0.41069865
286,2019-04-29,0.61694074,0.003584945,0.37947434
287,2019-04-30,0.0112813255,0.49438113,0.49433753
288,2019-05-02,0.30867234,0.0037196514,0.687608
289,2019-05-03,0.6711037,0.0050635515,0.3238327
290,2019-05-04,0.13766906,0.01081196,0.851519
291,2019-05-06,0.52895695,0.0031806917,0.46786234
292,2019-05-07,0.94283867,0.015504668,0.041656695
293,2019-05-08,0.19232044,0.3969638,0.41071576
294,2019-05-09,0.96884346,0.0028930628,0.028263431
295,2019-05-11,0.7097492,0.0051987,0.28505206
296,2019-05-12,0.07186583,0.011022737,0.9171114
297,2019-05-13,0.9522414,0.0033740138,0.044384547
298,2019-05-14,0.9538959,0.0068178526,0.039286315
299,2019-05-15,0.8973913,0.003340554,0.0992681
300,2019-05-16,0.25350732,0.004399085,0.7420936
301,2019-05-17,0.9852043,0.003227376,0.01156839
302,2019-05-20,0.5109581,0.0026529902,0.48638892
303,2019-05-21,0.9723237,0.0063712094,0.021305073
304,2019-05-22,0.76148736,0.011419195,0.22709344
305,2019-05-23,0.6626014,0.1874091,0.14998944
306,2019-05-24,0.07240252,0.39499518,0.5326023
307,2019-05-27,0.8397267,0.0039116424,0.1563617
308,2019-05-28,0.92338085,0.0056440467,0.07097507
309,2019-05-29,0.5591373,0.0479249,0.3929378
310,2019-05-30,0.51084256,0.0031018395,0.4860556
311,2019-05-31,0.38232854,0.004499854,0.61317164
312,2019-06-02,0.9227152,0.0051730936,0.07211177
313,2019-06-03,0.98055816,0.003850265,0.015591547
314,2019-06-05,0.94830644,0.0032024016,0.0484912
315,2019-06-06,0.9817195,0.004472878,0.013807616
316,2019-06-08,0.9642786,0.003316893,0.03240448
317,2019-06-09,0.39455462,0.0063015413,0.59914386
318,2019-06-11,0.5126817,0.002781181,0.48453707
319,2019-06-12,0.9808549,0.0033838511,0.015761264
320,2019-06-13,0.53295875,0.07849364,0.3885476
321,2019-06-14,0.5195826,0.40508997,0.07532744
322,2019-06-17,0.42861548,0.061363135,0.5100214
323,2019-06-18,0.7504742,0.00445539,0.24507044
324,2019-06-19,0.95058036,0.004087536,0.045332108
325,2019-06-20,0.81230426,0.0034118183,0.18428397
326,2019-06-21,0.50787073,0.004367271,0.48776203
327,2019-06-24,0.49778816,0.0031208177,0.4990911
328,2019-06-25,0.5206521,0.0040624896,0.47528544
329,2019-06-26,0.82059026,0.0041364855,0.17527322
